SEM ,BEM ,Abs.Sample,Abs.Blank
L470JUNE2022.csv,MILLIQBLANKFEB242023.csv,L470JUNE2022,BLANK1
L377JUNE2422.csv,MILLIQBLANKFEB242023.csv,L377JUNE2422,BLANK1
L375JUNE1722.csv,MILLIQBLANKFEB242023.csv,L375JUNE1722,BLANK1
L222JUNE2822.csv,MILLIQBLANKFEB242023.csv,L222JUNE2822,BLANK1
L378JUNE2722.csv,MILLIQBLANK03AUGUST2022.csv,L378JUNE2722,BLANK2
L373JUNE1022.csv,MILLIQBLANK04AUGUST2022.csv,L373JUNE1022,BLANK2
L373JUNE2722.csv,MILLIQBLANK03AUGUST2022.csv,L373JUNE2722,BLANK2
L239JUNE322.csv,MILLIQBLANKFEB242023.csv,L239JUNE322,BLANK3
L442JUNE822.csv,MILLIQBLANK02AUGUST2022.csv,L442JUNE822,BLANK2
L114JUNE1022.csv,MILLIQBLANK05AUGUST2022.csv,L114JUNE1022,BLANK2
L114JULY122.csv,MILLIQBLANK22JULY2022.csv,L114JULY122,BLANK2
L224JUNE2922.csv,MILLIQBLANK02AUGUST2022.csv,L224JUNE2922,BLANK2
L626JUNE622.csv,MILLIQBLANK05AUGUST2022.csv,L626JUNE622,BLANK2
