OLDNAME,NEWNAME
ELACTL1L222224_corr.csv,PARAFAC_001
ELACTL1L239_corr.csv,PARAFAC_002
ELACTL2L222224_corr.csv,PARAFAC_003
ELACTL2L239_corr.csv,PARAFAC_004
ELACTL3L224_corr.csv,PARAFAC_005
ELACTL4L224_corr.csv,PARAFAC_006
ELAFISH1001_corr.csv,PARAFAC_007
ELAFISH1002_corr.csv,PARAFAC_008
ELAFISH1003_corr.csv,PARAFAC_009
ELAFISH1004_corr.csv,PARAFAC_010
ELAFISH1005_corr.csv,PARAFAC_011
ELAFISH1006_corr.csv,PARAFAC_012
ELAFISH1007_corr.csv,PARAFAC_013
ELAFISH1008_corr.csv,PARAFAC_014
ELAFISH1009_corr.csv,PARAFAC_015
ELAFISH1010_corr.csv,PARAFAC_016
ELAFISH1011_corr.csv,PARAFAC_017
ELAFISH1012_corr.csv,PARAFAC_018
ELAFISH1013_corr.csv,PARAFAC_019
ELAFISH1014_corr.csv,PARAFAC_020
ELAFISH1015_corr.csv,PARAFAC_021
ELAFISH104_corr.csv,PARAFAC_022
ELAFISH105_corr.csv,PARAFAC_023
ELAFISH108_corr.csv,PARAFAC_024
ELAFISH109_corr.csv,PARAFAC_025
ELAFISH110_corr.csv,PARAFAC_026
ELAFISH111_corr.csv,PARAFAC_027
ELAFISH112_corr.csv,PARAFAC_028
ELAFISH113_corr.csv,PARAFAC_029
ELAFISH114_corr.csv,PARAFAC_030
ELAFISH115_corr.csv,PARAFAC_031
ELAFISH116_corr.csv,PARAFAC_032
ELAFISH117_corr.csv,PARAFAC_033
ELAFISH118_corr.csv,PARAFAC_034
ELAFISH119_corr.csv,PARAFAC_035
ELAFISH120_corr.csv,PARAFAC_036
ELAFISH121_corr.csv,PARAFAC_037
ELAFISH122_corr.csv,PARAFAC_038
ELAFISH901_corr.csv,PARAFAC_039
ELAFISH902_corr.csv,PARAFAC_040
ELAFISH903_corr.csv,PARAFAC_041
ELAFISH904_corr.csv,PARAFAC_042
ELAFISH905_corr.csv,PARAFAC_043
ELAFISH906_corr.csv,PARAFAC_044
ELAFISH907_corr.csv,PARAFAC_045
ELAFISH908_corr.csv,PARAFAC_046
ELAFISH909_corr.csv,PARAFAC_047
ELAFISH910_corr.csv,PARAFAC_048
ELAFISH911_corr.csv,PARAFAC_049
ELAFISH912_corr.csv,PARAFAC_050
ELAFISH913_corr.csv,PARAFAC_051
ELAFISH914_corr.csv,PARAFAC_052
ELAFISH915_corr.csv,PARAFAC_053
ELAFISH916_corr.csv,PARAFAC_054
ELAFISH917_corr.csv,PARAFAC_055
ELAFISH918_corr.csv,PARAFAC_056
ELAFISH919_corr.csv,PARAFAC_057
ELAFISH920_corr.csv,PARAFAC_058
ELAFISH921_corr.csv,PARAFAC_059
ELAFISH922_corr.csv,PARAFAC_060
ELAFISH923_corr.csv,PARAFAC_061
ELAFISH926_corr.csv,PARAFAC_062
ELAFISH927_corr.csv,PARAFAC_063
ELAFISH928_corr.csv,PARAFAC_064
ELAFISH929_corr.csv,PARAFAC_065
ELAFISH930_corr.csv,PARAFAC_066
ELAFISH931_corr.csv,PARAFAC_067
ELAFISH932_corr.csv,PARAFAC_068
ELAFISH933_corr.csv,PARAFAC_069
ELAFISH934_corr.csv,PARAFAC_070
ELAFISH935_corr.csv,PARAFAC_071
ELAFISH936_corr.csv,PARAFAC_072
ELAFISH937_corr.csv,PARAFAC_073
ELAFISH938_corr.csv,PARAFAC_074
ELAFISH939_corr.csv,PARAFAC_075
ELAFISH940_corr.csv,PARAFAC_076
ELAFISH941_corr.csv,PARAFAC_077
ELAFISH942_corr.csv,PARAFAC_078
ELAFISH943_corr.csv,PARAFAC_079
ELAFISH944_corr.csv,PARAFAC_080
ELAFISH945_corr.csv,PARAFAC_081
ELAFISH946_corr.csv,PARAFAC_082
ELAFISH947_corr.csv,PARAFAC_083
ELAFISH948_corr.csv,PARAFAC_084
ELAFISH949_corr.csv,PARAFAC_085
ELAPREFILTER1_corr.csv,PARAFAC_086
L114JUNE1022_corr.csv,PARAFAC_087
L222JUNE2822_corr.csv,PARAFAC_088
L224JUNE2922_corr.csv,PARAFAC_089
L239JUNE322_corr.csv,PARAFAC_090
L373JUNE1022_corr.csv,PARAFAC_091
L373JUNE2722_corr.csv,PARAFAC_092
L375JUNE1722_corr.csv,PARAFAC_093
L377JUNE2422_corr.csv,PARAFAC_094
L378JUNE2722_corr.csv,PARAFAC_095
L442JUNE822_corr.csv,PARAFAC_096
L470JUNE2022_corr.csv,PARAFAC_097
L626JUNE622_corr.csv,PARAFAC_098
