"V1","V2","V3","RamanArea","A254","A280","A350","A440","S275to295","S350to400","SR","BA","FI","HIX","HIX.ohno","PeakA","PeakB","PeakC","PeakD","PeakE","PeakM","PeakN","PeakP","PeakT"
"L470JUNE2022.csv","MILLIQBLANKFEB242023.csv","L470JUNE2022","464.841386618","41.8005134178864","30.8144290654919","10.6454543271302","2.37909115773849","0.0153632866261921","0.0177284348384133","0.866590128582783","0.737452258896271","0.487000181547053","-0.274987733400777","-0.379287008053874","0.216027258531087","0.294222823494674","0.221280648139267","0.095857621500297","0.17927275234631","0.156275414709036","0.0559723799388266",NA,"0.240653532363442"
"L377JUNE2422.csv","MILLIQBLANKFEB242023.csv","L377JUNE2422","464.841386618","14.0864644098863","9.80480835290332","2.7539734279456","0.563575392212944","0.0193977681149665","0.0186132133768416","1.04215041875043","0.65566508301119","-0.342718147585453","0.588213529632016","0.370361742081559","0.112968942097198","0.0655198066599581","0.135524448351269","0.237767175703435","0.0931540437482892","0.104051184352362","0.00605131809178722",NA,"0.0817684371608802"
"L375JUNE1722.csv","MILLIQBLANKFEB242023.csv","L375JUNE1722","464.841386618","16.177410112411","11.4084163810526","3.24734411303998","0.671794749555867","0.0191864392325953","0.0183688773238191","1.04450799547319","0.7032895324414","-0.101478184793287","0.554971503828275","0.356901398168364","0.122623367691845","0.0698959979871488","0.140382051020895","0.251244992972462","0.122668954207552","0.100511456297358","0.00437403792069769",NA,"0.112389219620077"
"L222JUNE2822.csv","MILLIQBLANKFEB242023.csv","L222JUNE2822","464.841386618","38.5945874157698","28.5138093479704","9.71134581257212","2.11979273085299","0.014885587731731","0.017752679797957","0.838498069088368","0.757196961269319","0.380174692987807","-0.056006261669889","-0.0593290605602553","0.217141095516545","0.253119834397286","0.207086418128681","0.0901948292977895","0.204004202827034","0.163202770895637","0.0556065673839533",NA,"0.0513586729531488"
"L378JUNE2722.csv","MILLIQBLANK03AUGUST2022.csv","L378JUNE2722","389.037853371","22.1226432184538","15.6724567414403","4.6464806737086","0.902375314323564","0.0183348538422176","0.0186656971798061","0.982275329209433","0.387516518164989","2.76454157192929","0.58215812526587","0.367951923369254","0.178947569675375","0.166343708532584","0.194214892602761","0.0230172038460063","0.202090972345722","0.20397535332004","0.0306352762206526",NA,"0.0435978776300732"
"L373JUNE1022.csv","MILLIQBLANK04AUGUST2022.csv","L373JUNE1022","415.419241695","7.49644974583218","5.07308722439104","1.32837487993552","0.311563698059127","0.0222904102006439","0.0187420357077174","1.18932705861111","0.235895434228095","4.21895205578408","0.1661452574698","0.142473895430735","0.156562467644845","0.0401513881413407","0.211198190614531","0.185504673470991","0.0345699476450686","0.159543015770475","0.0296103468194647",NA,"0.0433369946915098"
"L239JUNE822.csv","MILLIQBLANK02AUGUST2022.csv","L239JUNE822","438.694738842","22.8529332542973","16.3108255660023","5.00137608113103","0.993513427913094","0.0174431683980507","0.0183641319545824","0.949849872631639","0.432140659071407","-0.438386836354549","0.656850521039431","0.396445251215151","0.181839214398761","0.14271999615903","0.167722618344864","0.0479031491834989","0.173454361478678","0.152598285961625","0.0601337678614981",NA,"0.139276514653476"
"L442JUNE822.csv","MILLIQBLANK02AUGUST2022.csv","L442JUNE822","438.694738842","19.0906915559221","13.3715971592866","3.85709795789075","0.75018616017274","0.0185864048354609","0.0190699127312951","0.974645510829171","0.464011244147278","-0.392884742748396","0.561187220768491","0.359461833470714","0.160169841895824","0.0975307164712675","0.157912784853079","0.226487670062451","0.150350327734599","0.125098757959189","0.00647373931888041",NA,"0.0656084953207314"
"L114JUNE1022.csv","MILLIQBLANK05AUGUST2022.csv","L114JUNE1022","414.312123481","9.18848558158355","6.79088420101668","1.92370318744418","0.354314791871323","0.0220035808761678","0.0196612534472309","1.11913418619131","0.256644574161645","0.0814948830024426","0.493385336592624","0.330380461427561","0.114286068853051","0.0716462702383162","0.138300814003686","0.272566149098911","0.0973828426794757","0.136013044192876","0.113951087486162",NA,"0.134111189130351"
"L224JUNE2922.csv","MILLIQBLANK02AUGUST2022.csv","L224JUNE2922","438.694738842","6.625251698116","4.58767291773574","1.33993086760941","0.267716711603996","0.0202590502257347","0.0182366762748999","1.11089597250889","1.2306446236704","12.9983951086729","-0.142939104911038","-0.166778236797516","0.0930425044071638","0.0406466782479395","0.207397087068556","0.154793603812871","0.0356418868257755","0.132113054118638","0.0852532619109222",NA,"0.103700706890974"
"L626JUNE622.csv","MILLIQBLANK05AUGUST2022.csv","L626JUNE622","414.312123481","10.623855208194","7.42003087403565","2.0752962046715","0.39922817599161","0.0200273036415838","0.018921044477751","1.05846712982117","0.218060087711063","0.0850525364294586","0.343566432115851","0.255712277341435","0.136680911823235","0.0653949190467169","0.129830486328703","0.265172520968884","0.00505871738766925","0.113950056663634","0.0137921419855887",NA,"0.124422374475356"
