lake,date,Kd with outliers excluded,r_squared outliers excluded,count outliers excluded,Kd- all datapoints included,r_squared - all data points included,count - all data points included
114,05/31/2022,0.641,0.999,4,0.73,0.977,5
114,06/14/2022,0.677,0.997,5,0.677,0.997,5
114,06/28/2022,0.807,0.992,5,0.807,0.992,5
114,07/26/2022,0.83,0.991,5,0.83,0.991,5
114,08/09/2022,0.921,0.988,5,0.921,0.988,5
114,08/23/2022,0.772,0.993,5,0.772,0.993,5
114,09/06/2022,0.791,0.999,5,0.791,0.999,5
114,09/20/2022,0.818,1,5,0.818,1,5
114,10/04/2022,0.685,0.997,5,0.685,0.997,5
114,10/24/2022,0.65,0.994,5,0.65,0.994,5
224,05/30/2022,0.422,0.996,11,0.422,0.996,11
224,06/13/2022,0.405,0.998,12,0.405,0.998,12
224,06/27/2022,0.433,0.995,12,0.433,0.995,12
224,07/25/2022,0.406,0.999,12,0.406,0.999,12
224,08/08/2022,0.392,0.998,12,0.392,0.998,12
224,08/22/2022,0.396,0.999,13,0.396,0.999,13
224,09/06/2022,0.365,0.995,13,0.365,0.995,13
224,09/19/2022,0.383,0.999,13,0.383,0.999,13
224,10/03/2022,0.32,0.978,14,0.318,0.975,15
224,10/31/2022,0.398,0.998,12,0.398,0.998,12
239,05/25/2022,0.812,0.995,6,0.812,0.995,6
239,06/07/2022,0.826,0.998,7,0.826,0.998,7
239,06/21/2022,0.758,0.998,7,0.758,0.998,7
239,07/19/2022,0.757,0.989,7,0.729,0.972,8
239,08/03/2022,0.904,0.996,5,0.889,0.977,6
239,08/16/2022,0.754,0.998,7,0.754,0.998,7
239,08/30/2022,0.872,0.995,7,0.872,0.995,7
239,09/13/2022,0.885,0.997,6,0.885,0.997,6
239,09/27/2022,0.77,0.999,7,0.77,0.999,7
239,11/01/2022,0.78,0.997,7,0.78,0.997,7
373,06/01/2022,0.541,0.997,10,0.541,0.997,10
373,06/15/2022,0.453,0.994,11,0.447,0.993,12
373,06/29/2022,0.389,0.991,13,0.389,0.991,13
373,07/27/2022,0.438,0.997,12,0.438,0.997,12
373,08/10/2022,0.465,0.999,11,0.465,0.999,11
373,08/24/2022,0.429,0.994,12,0.429,0.994,12
373,09/07/2022,0.463,0.998,11,0.463,0.998,11
373,09/19/2022,0.44,0.999,11,0.44,0.999,11
373,10/05/2022,0.398,0.997,12,0.398,0.997,12
373,11/01/2022,0.551,0.99,9,0.551,0.99,9
375,05/31/2022,0.612,0.998,8,0.612,0.998,8
375,06/28/2022,0.529,0.998,9,0.529,0.998,9
375,08/09/2022,0.663,0.995,8,0.663,0.995,8
375,09/06/2022,0.591,0.995,9,0.591,0.995,9
375,10/04/2022,0.421,0.996,8,0.443,0.985,10
375,10/31/2022,0.562,0.994,7,0.584,0.982,9
378,05/31/2022,0.667,0.999,7,0.667,0.999,7
378,06/14/2022,0.708,1,7,0.708,1,7
378,06/28/2022,0.655,0.999,8,0.655,0.999,8
378,07/26/2022,0.663,0.999,7,0.663,0.999,7
378,08/09/2022,0.757,0.997,7,0.757,0.997,7
378,08/23/2022,0.748,1,7,0.748,1,7
378,09/06/2022,0.764,0.999,7,0.764,0.999,7
378,09/20/2022,0.678,0.996,8,0.678,0.996,8
378,10/04/2022,0.571,0.996,8,0.571,0.996,8
378,10/31/2022,0.943,0.997,6,0.943,0.997,6
442,06/08/2022,0.689,0.999,8,0.689,0.999,8
442,06/22/2022,0.643,0.999,8,0.643,0.999,8
442,07/20/2022,0.61,0.999,9,0.61,0.999,9
442,08/03/2022,0.602,0.998,8,0.602,0.998,8
442,08/17/2022,0.934,0.992,5,0.874,0.967,6
442,08/31/2022,0.634,0.991,8,0.634,0.991,8
442,09/14/2022,0.698,0.999,8,0.698,0.999,8
442,09/28/2022,0.72,0.996,7,0.72,0.996,7
442,10/25/2022,0.778,0.995,8,0.778,0.995,8
626,06/13/2022,0.503,0.999,10,0.503,0.999,10
626,07/25/2022,0.552,0.999,10,0.552,0.999,10
626,08/22/2022,0.56,0.997,9,0.56,0.997,9
626,09/19/2022,0.505,0.994,10,0.505,0.994,10
626,10/25/2022,0.455,0.999,10,0.455,0.999,10
