monitoring_location_name,activity_start_date,perimeter_surface,area_surface,volume_total,depth_mean,depth_max,update_date
114 LA,2022-08-15,2069.14,120243,180027.13,1.5,4.26,2022-12-02
224 LA,2017-08-06,2618.96,261581.75,3066670.5,11.72,27.29,2022-10-31
239 LA,2017-07-29,4435.85,541374,6169178.5,11.4,31.46,2022-10-31
373 LA,2017-08-01,2666.27,273816.75,3107474.25,11.35,21.23,2022-10-31
375 LA,2003-09-08,2512.46,230689,2669139.75,11.57,25.89,2022-11-23
377 LA,2022-08-08,2864.75,282374,2599328.25,9.21,18.15,2022-12-08
378 LA,2019-06-18,2333.49,251579,1996478.5,7.94,16.62,2022-11-23
442 LA,2019-08-01,1757.94,154377,1352174.63,8.76,17.93,2022-10-04
626 LA,2010-08-21,2646.73,261326,1900317.13,7.27,13.11,2022-11-17
106 LA,2018-07-24,1028.01,39669,30260.24,0.76,1.59,2022-10-05
115 LA,2019-06-17,1151.44,65305,68706.67,1.05,1.9,2022-11-14
223 LA,2018-06-21,2581.78,275640,1916316.5,6.95,14.47,2022-11-23
225 LA,2019-07-02,1090.55,38923,42609.2,1.09,1.91,2022-10-06
227 LA,2022-08-23,918.66,54953,259439.89,4.72,10.6,2022-12-02
240 LA,2005-06-16,3431.62,446999,3002319.75,6.72,15.09,2022-11-23
260 LA,2017-08-07,3494.03,332460.25,1975968.5,5.94,15.64,2022-10-31
303 LA,2022-08-19,1665.89,102012,189501.73,1.86,2.79,2022-12-06
304 LA,2022-08-15,809.02,37502,120704.2,3.22,7.22,2022-12-08
310 LA,2019-08-01,4970.01,511925,5795394.5,11.32,26.98,2022-11-23
421 LA,2022-07-26,2975.17,172386,1111736.25,6.45,14.69,2022-12-08
438 LA,2019-10-04,2587.71,179764,418144.19,2.33,6.03,2022-11-15
627 LA,2019-10-06,2969.44,355344,2124787,5.98,8.68,2022-11-15
628 LA,2019-10-07,4243.24,206172,1062062.38,5.15,19.08,2022-12-08
658 LA,2003-09-08,2140.52,84633,493704.22,5.83,12.3,2022-11-23
659 LA,2019-07-15,5556.73,271683,1220889,4.49,7.86,2022-11-15
